,Sex,Survived
0,female,0
1,female,0
2,female,0
3,female,0
4,female,0
5,female,0
6,female,0
7,female,0
8,female,0
9,female,0
10,female,0
11,female,0
12,female,0
13,female,0
14,female,0
15,female,0
16,female,0
17,female,0
18,female,0
19,female,0
20,female,0
21,female,0
22,female,0
23,female,0
24,female,0
25,female,0
26,female,0
27,female,0
28,female,0
29,female,0
30,female,0
31,female,0
32,female,0
33,female,0
34,female,0
35,female,0
36,female,0
37,female,0
38,female,0
39,female,0
40,female,0
41,female,0
42,female,0
43,female,0
44,female,0
45,female,0
46,female,0
47,female,0
48,female,0
49,female,0
50,female,0
51,female,0
52,female,0
53,female,0
54,female,0
55,female,0
56,female,0
57,female,0
58,female,0
59,female,0
60,female,0
61,female,0
62,female,0
63,female,0
64,female,0
65,female,0
66,female,0
67,female,0
68,female,0
69,female,0
70,female,0
71,female,0
72,female,0
73,female,0
74,female,0
75,female,0
76,female,0
77,female,0
78,female,0
79,female,0
80,female,0
81,female,1
82,female,1
83,female,1
84,female,1
85,female,1
86,female,1
87,female,1
88,female,1
89,female,1
90,female,1
91,female,1
92,female,1
93,female,1
94,female,1
95,female,1
96,female,1
97,female,1
98,female,1
99,female,1
100,female,1
101,female,1
102,female,1
103,female,1
104,female,1
105,female,1
106,female,1
107,female,1
108,female,1
109,female,1
110,female,1
111,female,1
112,female,1
113,female,1
114,female,1
115,female,1
116,female,1
117,female,1
118,female,1
119,female,1
120,female,1
121,female,1
122,female,1
123,female,1
124,female,1
125,female,1
126,female,1
127,female,1
128,female,1
129,female,1
130,female,1
131,female,1
132,female,1
133,female,1
134,female,1
135,female,1
136,female,1
137,female,1
138,female,1
139,female,1
140,female,1
141,female,1
142,female,1
143,female,1
144,female,1
145,female,1
146,female,1
147,female,1
148,female,1
149,female,1
150,female,1
151,female,1
152,female,1
153,female,1
154,female,1
155,female,1
156,female,1
157,female,1
158,female,1
159,female,1
160,female,1
161,female,1
162,female,1
163,female,1
164,female,1
165,female,1
166,female,1
167,female,1
168,female,1
169,female,1
170,female,1
171,female,1
172,female,1
173,female,1
174,female,1
175,female,1
176,female,1
177,female,1
178,female,1
179,female,1
180,female,1
181,female,1
182,female,1
183,female,1
184,female,1
185,female,1
186,female,1
187,female,1
188,female,1
189,female,1
190,female,1
191,female,1
192,female,1
193,female,1
194,female,1
195,female,1
196,female,1
197,female,1
198,female,1
199,female,1
200,female,1
201,female,1
202,female,1
203,female,1
204,female,1
205,female,1
206,female,1
207,female,1
208,female,1
209,female,1
210,female,1
211,female,1
212,female,1
213,female,1
214,female,1
215,female,1
216,female,1
217,female,1
218,female,1
219,female,1
220,female,1
221,female,1
222,female,1
223,female,1
224,female,1
225,female,1
226,female,1
227,female,1
228,female,1
229,female,1
230,female,1
231,female,1
232,female,1
233,female,1
234,female,1
235,female,1
236,female,1
237,female,1
238,female,1
239,female,1
240,female,1
241,female,1
242,female,1
243,female,1
244,female,1
245,female,1
246,female,1
247,female,1
248,female,1
249,female,1
250,female,1
251,female,1
252,female,1
253,female,1
254,female,1
255,female,1
256,female,1
257,female,1
258,female,1
259,female,1
260,female,1
261,female,1
262,female,1
263,female,1
264,female,1
265,female,1
266,female,1
267,female,1
268,female,1
269,female,1
270,female,1
271,female,1
272,female,1
273,female,1
274,female,1
275,female,1
276,female,1
277,female,1
278,female,1
279,female,1
280,female,1
281,female,1
282,female,1
283,female,1
284,female,1
285,female,1
286,female,1
287,female,1
288,female,1
289,female,1
290,female,1
291,female,1
292,female,1
293,female,1
294,female,1
295,female,1
296,female,1
297,female,1
298,female,1
299,female,1
300,female,1
301,female,1
302,female,1
303,female,1
304,female,1
305,female,1
